Anxiety/depression,Compulsivity,Social withdrawal,item
0.0,0.0,0.0,SCZ_19
0.0,0.0,0.0,SCZ_20
0.0,0.0,0.0,SCZ_21
0.0,0.0,0.0,SCZ_22
0.0,0.0,0.0,SCZ_23
0.0,0.0,0.0,SCZ_24
0.0,0.0,0.0,SCZ_25
0.0,-0.0,0.0,SCZ_26
0.0,-0.0,0.0,SCZ_27
0.0,0.0,0.0,SCZ_28
0.0,-0.0,0.0,SCZ_29
0.0,-0.0,0.0,SCZ_30
0.0,-0.0,0.0,SCZ_31
0.0,0.0,0.0,SCZ_32
0.0,-0.0,0.0,SCZ_33
0.0,0.0,-0.0,SCZ_34
0.0,0.0,0.0,SCZ_35
0.0,0.0,-0.0,SCZ_36
0.0,0.0,0.0,SCZ_37
0.0,0.0,0.0,SCZ_38
0.0,0.0,-0.0,SCZ_39
0.0,0.0,-0.0,SCZ_40
0.0,0.0,0.0,SCZ_41
0.0,0.0,0.0,SCZ_42
0.0,0.0,0.0,SCZ_43
-0.0,0.0,-0.0,AUDIT_1
0.0,0.0,-0.0,AUDIT_2
0.0,0.0,-0.0,AUDIT_3
0.0,0.0,-0.0,AUDIT_4
0.0,0.0,-0.0,AUDIT_5
0.0,0.0,-0.0,AUDIT_6
0.0,0.0,-0.0,AUDIT_7
0.0,0.0,-0.0,AUDIT_8
0.0,0.0,-0.0,AUDIT_9
0.0,0.0,-0.0,AUDIT_10
-0.0,0.060716266621326766,0.0,EAT_1
0.0,0.0,0.0,EAT_2
0.0,0.0,0.0,EAT_3
0.0,0.0,0.0,EAT_4
-0.0,0.0,0.0,EAT_5
-0.0,0.0,0.0,EAT_6
-0.0,0.0,0.0,EAT_7
0.0,0.0,0.0,EAT_8
0.0,0.0,0.0,EAT_9
0.0,0.0,0.0,EAT_10
0.0,0.04859382540299783,0.0,EAT_11
-0.0,0.0,0.0,EAT_12
0.0,0.0,0.0,EAT_13
-0.0,0.0,0.0,EAT_14
-0.0,0.0,0.0,EAT_15
-0.0,0.0,0.0,EAT_16
-0.0,0.0,0.0,EAT_17
0.0,0.0,0.0,EAT_18
-0.0,-0.0,0.0,EAT_19
0.0,0.0,0.0,EAT_20
-0.0,0.0,0.0,EAT_21
-0.0,0.0,0.0,EAT_22
-0.0,0.0,0.0,EAT_23
-0.0,0.0,0.0,EAT_24
0.0,0.0,0.0,EAT_25
0.0,0.0,0.0,EAT_26
0.003603586601127097,0.0,0.0,AES_1
0.01658647578421483,0.0,0.0,AES_2
0.0,-0.0,0.0,AES_3
0.0,-0.0,0.0,AES_4
0.0,-0.0,0.0,AES_5
0.0,0.0,0.0,AES_6
0.006160272530619578,-0.0,0.0,AES_7
0.009356338717758544,0.0,-0.0,AES_8
0.0,0.0,0.0,AES_9
0.0,0.0,0.0,AES_10
0.0,0.0,-0.0,AES_11
0.0,-0.0,0.0,AES_12
0.0,-0.0,0.0,AES_13
0.0,-0.0,0.0,AES_14
0.0,0.0,0.0,AES_15
0.0009666915920496249,-0.0,0.0,AES_16
0.03669261269369276,-0.0,0.0,AES_17
0.1877536997429634,0.0,0.0,AES_18
